serviceCharge,heatingType,newlyConst,balcony,picturecount,pricetrend,totalRent,yearConstructed,scoutId,firingTypes,hasKitchen,cellar,baseRent,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,floor,noRoomsRange,garden,livingSpaceRange,regio3,heatingCosts,date
300,central_heating,FALSE,FALSE,11,6.71,2000,NA,106934667,gas,FALSE,TRUE,1700,97,refurbished,sophisticated,NA,FALSE,roof_storey,81245,3.5,NA,3,FALSE,4,Obermenzing,NA,Sep18
550,combined_heat_and_power_plant,TRUE,TRUE,14,6.83,4030,2018,110264907,district_heating,FALSE,TRUE,3250,166,first_time_use,luxury,NA,TRUE,roof_storey,81677,4,7,4,FALSE,7,Bogenhausen,NA,May19
140,central_heating,TRUE,TRUE,6,7.32,NA,2018,110632084,NA,TRUE,TRUE,1050,35.71,NA,sophisticated,NA,TRUE,apartment,80804,1,3,1,FALSE,1,Schwabing,NA,May19
55,self_contained_central_heating,FALSE,FALSE,6,7.04,965,1910,111357294,gas,TRUE,TRUE,910,42,refurbished,sophisticated,no,FALSE,other,81667,1,3,1,FALSE,2,Haidhausen,NA,May19
167.5,floor_heating,FALSE,TRUE,27,6.25,1252.5,2017,111001548,geothermal,TRUE,TRUE,1085,53.1,mint_condition,sophisticated,no,FALSE,roof_storey,81825,2,3,2,TRUE,2,Trudering,NA,May19
280,central_heating,FALSE,TRUE,5,5.26,1760,NA,115600982,gas,TRUE,TRUE,1480,90,NA,sophisticated,NA,FALSE,roof_storey,81929,2.5,2,2,FALSE,4,Bogenhausen,NA,Feb20
80,central_heating,FALSE,TRUE,10,6.8,1270,1995,108883987,gas,TRUE,TRUE,1190,40,mint_condition,sophisticated,negotiable,FALSE,other,80639,1,1,1,FALSE,1,Nymphenburg,NA,May19
200,NA,FALSE,TRUE,15,5.15,920,NA,114950755,NA,TRUE,TRUE,720,30,NA,NA,NA,FALSE,NA,81245,1,1,1,FALSE,1,Obermenzing,NA,Feb20
200,central_heating,FALSE,TRUE,8,6.13,1600,1984,111298564,district_heating,TRUE,TRUE,1400,78,well_kept,sophisticated,NA,FALSE,maisonette,81545,3,0,3,TRUE,3,Harlaching,NA,May19
210,floor_heating,TRUE,TRUE,22,5.41,2100,2019,113948720,district_heating,TRUE,TRUE,1890,79.99,first_time_use,sophisticated,no,TRUE,apartment,81669,3,3,3,FALSE,3,Haidhausen,NA,Feb20
100,floor_heating,TRUE,TRUE,9,6.61,690,2018,111206420,district_heating,TRUE,FALSE,590,22,first_time_use,sophisticated,no,TRUE,raised_ground_floor,81241,1,NA,1,TRUE,1,Pasing,NA,May19
395,central_heating,FALSE,TRUE,14,5,3220,1897,95399614,district_heating,TRUE,FALSE,2825,113,fully_renovated,NA,NA,TRUE,roof_storey,80331,3,5,3,FALSE,5,Altstadt,NA,Feb20
130,central_heating,FALSE,TRUE,10,8.84,1700,1996,47824462,district_heating,TRUE,TRUE,1570,65,mint_condition,sophisticated,no,TRUE,roof_storey,81371,2,4,2,TRUE,3,Sendling,0,Sep18
130,floor_heating,TRUE,TRUE,29,5.01,1230,2019,115134665,district_heating,FALSE,FALSE,1100,45.83,first_time_use,sophisticated,no,FALSE,apartment,81737,2,1,2,FALSE,2,Perlach,NA,Feb20
0,NA,FALSE,TRUE,26,4.99,1750,2001,114880875,gas,FALSE,FALSE,1750,62,NA,NA,NA,TRUE,NA,81829,2,2,2,FALSE,3,Trudering,NA,Feb20
343,NA,TRUE,TRUE,5,4.6,2490,2019,114583862,NA,TRUE,TRUE,2052,102.6,first_time_use,sophisticated,no,TRUE,apartment,81477,3,0,3,FALSE,5,Solln,NA,Feb20
190,central_heating,TRUE,FALSE,3,7.38,1410,2018,106675406,gas,FALSE,TRUE,1220,66.95,first_time_use,sophisticated,no,TRUE,apartment,81377,3,2,3,FALSE,3,Sendling_Westpark,NA,Sep18
200,central_heating,FALSE,TRUE,13,7.34,2400,NA,78199747,oil,TRUE,TRUE,2200,90,well_kept,sophisticated,no,FALSE,roof_storey,80802,3,6,3,FALSE,4,Schwabing,NA,May19
238,NA,TRUE,FALSE,11,5.11,1678,2020,115267533,NA,FALSE,FALSE,1440,79.35,first_time_use,NA,NA,FALSE,NA,81475,3,4,3,FALSE,3,Fürstenried,119,Feb20
250,NA,FALSE,TRUE,8,5.57,1900,2014,115672242,district_heating,FALSE,TRUE,1650,64.85,mint_condition,luxury,NA,TRUE,apartment,80802,2,2,2,FALSE,3,Schwabing,NA,Feb20
250,self_contained_central_heating,FALSE,TRUE,22,5.73,1450,1920,106787299,gas,TRUE,TRUE,1200,52,fully_renovated,luxury,no,FALSE,apartment,81371,1.5,2,1,FALSE,2,Sendling,NA,Feb20
50,central_heating,FALSE,FALSE,23,4.47,1150,NA,113869457,NA,TRUE,FALSE,1100,18,modernized,sophisticated,no,FALSE,apartment,80469,1,2,1,FALSE,1,Altstadt,NA,Oct19
350,NA,TRUE,TRUE,0,6.05,NA,2019,112144716,NA,TRUE,FALSE,1442.88,66.79,NA,NA,NA,FALSE,terraced_flat,81547,2,NA,2,FALSE,3,Untergiesing,NA,Oct19
120,central_heating,FALSE,TRUE,0,8.05,970,2014,107323089,district_heating,TRUE,FALSE,790,32.5,mint_condition,NA,NA,TRUE,apartment,80992,1.5,3,1,FALSE,1,Moosach,NA,Sep18
120,NA,FALSE,FALSE,6,7.34,1170,NA,107381943,district_heating,TRUE,FALSE,1050,28.95,well_kept,sophisticated,NA,TRUE,apartment,80336,1,2,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,May19
235,NA,FALSE,FALSE,20,5.94,1935,1974,113549279,NA,TRUE,FALSE,1700,75,first_time_use_after_refurbishment,luxury,negotiable,TRUE,apartment,80802,2.5,1,2,TRUE,3,Schwabing,NA,Oct19
185,night_storage_heater,FALSE,TRUE,7,7.79,NA,1976,107183285,electricity,TRUE,TRUE,1200,45,fully_renovated,sophisticated,NA,TRUE,apartment,81925,2,5,2,FALSE,2,Bogenhausen,NA,May19
0,NA,FALSE,TRUE,16,5.1,1150,2011,115622131,gas,FALSE,TRUE,1150,30,NA,NA,NA,TRUE,NA,81375,1,2,1,FALSE,1,Hadern,NA,Feb20
215,floor_heating,FALSE,TRUE,13,5.57,1410,2018,115515881,district_heating,TRUE,TRUE,1195,41,mint_condition,sophisticated,no,TRUE,apartment,80807,1,3,1,FALSE,2,Schwabing,NA,Feb20
120,central_heating,FALSE,FALSE,7,5.42,750,1952,115611826,oil,TRUE,FALSE,630,30,refurbished,normal,negotiable,TRUE,apartment,80469,1,3,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,Feb20
350,oil_heating,FALSE,TRUE,15,5.26,4450,1972,115555198,oil,TRUE,TRUE,4100,120,first_time_use_after_refurbishment,sophisticated,negotiable,TRUE,apartment,81675,3.5,2,3,TRUE,5,Bogenhausen,NA,Feb20
30,NA,FALSE,FALSE,1,4.18,NA,1984,115708236,district_heating,FALSE,FALSE,200,12,well_kept,NA,NA,FALSE,apartment,80539,1,NA,1,FALSE,1,Altstadt,NA,Feb20
230,floor_heating,FALSE,TRUE,12,7.57,2035,2017,110863905,district_heating,TRUE,TRUE,1805,74.5,mint_condition,sophisticated,no,TRUE,apartment,80807,3,1,3,FALSE,3,Schwabing,NA,May19
80,central_heating,FALSE,TRUE,9,7.43,840,1972,102825538,gas,TRUE,FALSE,760,36,fully_renovated,sophisticated,no,FALSE,other,81479,1.5,2,1,TRUE,1,Solln,NA,May19
0,central_heating,FALSE,FALSE,5,7.53,1295,NA,111330566,NA,TRUE,FALSE,1295,32,mint_condition,NA,negotiable,TRUE,apartment,80801,1,1,1,FALSE,1,Schwabing_West,NA,May19
250,central_heating,FALSE,TRUE,9,6.96,1430,1971,110797655,gas,TRUE,TRUE,1180,75,fully_renovated,sophisticated,no,TRUE,apartment,81927,3,2,3,FALSE,3,Bogenhausen,NA,May19
50,central_heating,FALSE,FALSE,24,4.47,1250,NA,113869573,NA,TRUE,FALSE,1200,22,modernized,sophisticated,no,FALSE,apartment,80469,1,2,1,FALSE,1,Altstadt,NA,Oct19
245,central_heating,FALSE,TRUE,9,5.85,2859,1900,113816270,natural_gas_light,TRUE,TRUE,2412,134,modernized,luxury,NA,TRUE,apartment,80335,3,1,3,FALSE,6,Maxvorstadt,202,Oct19
290,floor_heating,FALSE,TRUE,7,7.65,3240,2015,106658824,district_heating,TRUE,TRUE,2950,99.95,NA,sophisticated,negotiable,TRUE,apartment,80804,3,9,3,FALSE,4,Schwabing,NA,Sep18
350,NA,FALSE,TRUE,12,5.81,2700,1970,114055936,gas,TRUE,TRUE,2350,125,fully_renovated,NA,NA,TRUE,apartment,80805,4.5,6,4,FALSE,6,Schwabing,NA,Feb20
270,central_heating,FALSE,TRUE,7,7.09,1690,NA,100255877,gas,TRUE,FALSE,1420,54,first_time_use_after_refurbishment,sophisticated,no,TRUE,apartment,80779,2,3,2,FALSE,2,Maxvorstadt,NA,Feb20
390,central_heating,FALSE,TRUE,10,6.21,2380,1956,111416415,district_heating,FALSE,FALSE,1990,64.36,first_time_use,NA,no,TRUE,NA,80796,2.5,6,2,FALSE,3,Schwabing_West,NA,Oct19
150,self_contained_central_heating,FALSE,FALSE,8,5.36,1950,1890,115526354,NA,TRUE,TRUE,1800,68,fully_renovated,sophisticated,NA,FALSE,roof_storey,81373,2.5,2,2,FALSE,3,Sendling,NA,Feb20
200,central_heating,FALSE,TRUE,21,6.12,1590,NA,114722693,district_heating,TRUE,TRUE,1390,50,fully_renovated,sophisticated,no,TRUE,apartment,80796,2,2,2,TRUE,2,Schwabing_West,NA,Feb20
200,floor_heating,FALSE,TRUE,11,5.6,1470,2004,115563465,district_heating,TRUE,TRUE,1200,60,fully_renovated,sophisticated,no,TRUE,apartment,80992,2.5,5,2,FALSE,2,Moosach,NA,Feb20
280,central_heating,FALSE,TRUE,18,6.41,1930,1960,84698222,oil,FALSE,TRUE,1650,110,modernized,sophisticated,no,FALSE,ground_floor,81245,4,NA,4,TRUE,5,Obermenzing,NA,Oct19
50,central_heating,FALSE,FALSE,14,5.62,1130,NA,115132568,NA,TRUE,FALSE,1080,14,modernized,sophisticated,no,FALSE,apartment,80337,1,2,1,FALSE,1,Ludwigsvorstadt_Isarvorstadt,NA,Feb20
250,self_contained_central_heating,FALSE,TRUE,42,6.21,3200,1955,113031596,gas,TRUE,TRUE,2950,122,mint_condition,luxury,negotiable,TRUE,roof_storey,80796,3.5,6,3,FALSE,6,Schwabing_West,NA,Oct19
362.19,floor_heating,TRUE,TRUE,13,6.07,2899,2019,113691330,district_heating,TRUE,TRUE,2536.81,113.2,first_time_use,NA,negotiable,TRUE,terraced_flat,80809,4,0,4,TRUE,5,Schwabing_West,NA,Feb20
160,central_heating,FALSE,TRUE,10,4.88,1360,1972,115406587,gas,TRUE,TRUE,1150,75,well_kept,normal,negotiable,FALSE,roof_storey,81245,2,2,2,FALSE,3,Obermenzing,NA,Feb20
370,central_heating,TRUE,TRUE,9,7.11,4038,2019,109642341,district_heating,TRUE,TRUE,3668,130.92,first_time_use,luxury,NA,TRUE,roof_storey,80634,4,NA,4,FALSE,6,Neuhausen,NA,May19
90,central_heating,FALSE,TRUE,8,8.52,815,1956,104083926,district_heating,TRUE,TRUE,725,27,refurbished,NA,NA,TRUE,apartment,80796,1,2,1,FALSE,1,Schwabing_West,NA,Feb20
150,central_heating,FALSE,TRUE,6,6.83,1350,2017,111240721,district_heating,TRUE,TRUE,1200,57.56,first_time_use,NA,no,TRUE,apartment,81927,2,3,2,FALSE,2,Bogenhausen,NA,May19
175,gas_heating,FALSE,TRUE,9,5.12,1210,1994,113753960,NA,TRUE,TRUE,1035,53,well_kept,NA,no,FALSE,ground_floor,81827,2,0,2,TRUE,2,Trudering,NA,Oct19
350,self_contained_central_heating,FALSE,TRUE,5,7.34,3250,1913,111397678,gas,TRUE,TRUE,2900,132,negotiable,NA,NA,TRUE,apartment,80803,4,1,4,FALSE,6,Schwabing,NA,May19
80,NA,FALSE,TRUE,4,5.1,600,NA,114834177,NA,TRUE,FALSE,530,17.89,NA,NA,NA,FALSE,NA,81241,1,2,1,FALSE,1,Pasing,NA,Feb20
0,NA,FALSE,TRUE,23,5.72,1950,NA,113544329,NA,FALSE,FALSE,1950,50,NA,NA,NA,TRUE,NA,80337,2,1,2,FALSE,2,Ludwigsvorstadt_Isarvorstadt,NA,Oct19
427,NA,TRUE,TRUE,4,5.54,3955,2019,114668320,natural_gas_heavy,FALSE,TRUE,3418,122,first_time_use,luxury,NA,TRUE,apartment,80805,3,NA,3,FALSE,6,Schwabing,NA,Feb20
290,central_heating,TRUE,TRUE,11,6.79,3165,2018,104914834,natural_gas_light,TRUE,TRUE,2685,117,first_time_use,luxury,NA,FALSE,roof_storey,81545,4,3,4,FALSE,5,Harlaching,115,Sep18
130,oil_heating,FALSE,FALSE,1,4.69,680,NA,115710078,NA,TRUE,FALSE,550,38.55,NA,NA,no,FALSE,apartment,81829,1,1,1,FALSE,1,Trudering,NA,Feb20
247,oil_heating,FALSE,TRUE,4,7.09,NA,1957,111400148,NA,FALSE,FALSE,2970,165,modernized,normal,NA,TRUE,apartment,80333,4.5,5,4,FALSE,7,Maxvorstadt,160,May19
390,central_heating,FALSE,TRUE,22,7.38,2810,2004,106615459,gas,TRUE,TRUE,2350,125,well_kept,sophisticated,negotiable,FALSE,maisonette,81479,3.5,NA,3,TRUE,6,Solln,NA,Sep18
0,NA,FALSE,TRUE,29,5.46,2300,1962,115093619,oil,FALSE,TRUE,2300,122,NA,NA,NA,FALSE,NA,81929,4,NA,4,TRUE,6,Bogenhausen,NA,Feb20
150,oil_heating,FALSE,FALSE,42,5.4,1440,NA,115646029,oil,TRUE,FALSE,1290,45,modernized,NA,negotiable,FALSE,NA,80689,2,2,2,FALSE,2,Laim,NA,Feb20
170,floor_heating,TRUE,TRUE,11,6.13,1270,2019,111296664,district_heating,FALSE,TRUE,1100,53.32,first_time_use,sophisticated,NA,TRUE,apartment,81739,2,1,2,FALSE,2,Perlach,NA,May19
180,central_heating,FALSE,TRUE,13,4.96,1203,1990,115564756,gas,TRUE,TRUE,1023,56,mint_condition,sophisticated,negotiable,TRUE,apartment,80997,2,2,2,FALSE,2,Untermenzing,NA,Feb20
290,floor_heating,FALSE,TRUE,20,5.75,2570,1912,113232403,oil,TRUE,FALSE,2280,133,well_kept,sophisticated,no,TRUE,roof_storey,80634,2,4,2,FALSE,6,Neuhausen,NA,Feb20
160,heat_pump,TRUE,TRUE,8,5.07,1660,2019,112576168,NA,FALSE,FALSE,1500,76,first_time_use,NA,no,FALSE,ground_floor,81247,2,NA,2,FALSE,3,Obermenzing,NA,Feb20
280,NA,FALSE,FALSE,10,5.64,1530,1982,115229409,NA,TRUE,TRUE,1250,68,well_kept,normal,no,TRUE,roof_storey,81373,2,3,2,FALSE,3,Sendling,NA,Feb20
0,NA,FALSE,TRUE,23,6.83,1300,1998,111171788,district_heating,FALSE,TRUE,1300,37,NA,NA,NA,TRUE,NA,81927,1,3,1,FALSE,1,Bogenhausen,NA,May19
302.95,district_heating,TRUE,FALSE,6,7.23,1713.95,2018,106192996,district_heating,TRUE,TRUE,1411,76,first_time_use,sophisticated,negotiable,TRUE,apartment,81377,2,1,2,FALSE,3,Hadern,NA,Sep18
240,central_heating,TRUE,TRUE,7,5.63,949,2019,112746800,district_heating,TRUE,FALSE,709,24,first_time_use,sophisticated,no,TRUE,NA,81549,1,NA,1,TRUE,1,Ramersdorf,NA,Feb20
300,floor_heating,FALSE,TRUE,15,5.85,2050,1999,114831606,gas,TRUE,FALSE,1750,90,fully_renovated,sophisticated,no,FALSE,roof_storey,80939,3.5,2,3,FALSE,4,Freimann,NA,Feb20
